"";"ring";"early troph";"late troph";"schizont";"early gam";"mature gam";"ookinete"
"PF3D7_0107200.1";2,711045;5,554059;25,548912;6,731747;59,840991;25,321332;13,336722
"PF3D7_0107300.1";3,189353;1,728433;6,084474;6,503073;10,029565;175,804698;137,986296
"PF3D7_0107400.1";61,168397;21,508119;89,27184;76,799983;952,369318;473,605578;104,014858
"PF3D7_0107500.1";323,226695;688,851616;263,995431;142,668916;26,586546;26,005964;59,701259
"PF3D7_0107600.1";5,482361;1,839442;3,781943;2,144981;18,972841;58,597687;23,102223
"PF3D7_0107700.1";9,659389;8,005703;31,294376;11,672402;130,304772;244,322395;88,702835
"PF3D7_0107800.1";5,655636;27,508783;38,036505;31,997777;9,616364;32,55099;30,174768
"PF3D7_0107900.1";11,953354;71,642801;64,037578;28,843778;118,901534;240,05562;47,356544
"PF3D7_0108000.1";153,409625;262,588308;826,184345;692,724828;923,654994;491,160829;114,749156
"PF3D7_0108100.1";3,612258;6,030636;24,302311;18,235404;22,708012;103,019156;12,438825
"PF3D7_0108300.1";257,674788;679,576392;309,001583;607,922371;112,382111;73,240943;139,80124
"PF3D7_0108400.1.1";20,590229;29,046285;25,92822;6,375451;123,45294;163,15739;73,645237
"PF3D7_0108400.2.1";2,839956;13,564753;7,594033;0,00806;5e-06;133,64957;0,000348
"PF3D7_0108500.1";24,133353;793,577487;2352,53274;1736,4377;688,036941;805,933123;175,094229
"PF3D7_0108600.1";19,391864;12,027478;48,500328;34,353458;69,380978;255,186492;65,998595
"PF3D7_0108700.1";25,638168;121,065635;223,886642;109,834846;39,328566;57,650983;202,422812
"PF3D7_0108800.1";16,043858;87,951739;108,320763;134,171716;114,017664;457,936189;230,139582
"PF3D7_0109000.1";13,278962;3,803695;291,647768;391,472399;4364,239661;2305,92493;541,339317
"PF3D7_0109100.1";2,089394;0,92554;10,797634;21,19977;53,483146;122,496913;110,577126
"PF3D7_0109200.1";12,606149;94,703608;132,581183;86,968213;539,932215;381,37294;100,069557
"PF3D7_0109300.1";3,059462;5,150043;20,356683;35,152844;118,053489;199,339836;6,767976
"PF3D7_0109400.1";23,770252;57,887107;129,236569;42,321386;5862,433227;2834,042902;593,379512
"PF3D7_0109500.1";25,878551;562,562653;524,467043;374,421378;1901,015925;3610,858282;577,25704
"PF3D7_0109600.1";2,511262;25,308192;34,434883;4,787294;532,747028;522,374476;20,078978
"PF3D7_0109700.1";132,295223;138,371868;43,878143;40,640556;65,296644;223,811699;114,939629
"PF3D7_0109800.1";81,103005;86,959619;93,189209;53,616001;34,087708;20,613699;100,570269
"PF3D7_0109900.1.1";4,374634;4,308456;64,219779;46,97728;164,37751;363,226271;85,005946
"PF3D7_0109900.2.1";0,049466;0;1e-05;69,767303;3,7e-05;0,106357;39,762804
"PF3D7_0110000.1";12,174051;15,010987;107,476789;104,472215;4276,881242;1888,760234;876,512205
"PF3D7_0110100.1";12,851774;24,373888;22,399217;11,114871;18,496722;81,340433;16,735055
"PF3D7_0110200.1";11,731592;25,476875;51,703949;13,110664;142,261327;179,11241;56,530428
"PF3D7_0110400.1";15,186688;85,597537;123,507712;47,702668;65,776536;256,038539;122,595389
"PF3D7_0110500.1";11,695401;80,866139;39,606121;14,755544;44,43519;50,361509;60,172706
"PF3D7_0110600.1";251,472913;324,142657;166,872447;120,61617;56,889955;50,270004;247,039999
"PF3D7_0110700.1";19,485309;61,142377;162,630991;63,120192;288,24753;52,861585;117,851958
"PF3D7_0110800.1";95,894277;276,511679;176,370654;139,220696;134,19491;110,30506;151,935868
"PF3D7_0110900.1";35,52268;21,732631;14,604356;2,388179;30,225329;32,150255;9,931164
"PF3D7_0111000.1";4,897755;2,691326;52,414602;81,940842;6,222243;31,044806;266,446778
"PF3D7_0111200.1";4,587006;7,889758;37,537717;69,447458;89,992591;174,179664;77,786065
"PF3D7_0111300.1";4,733928;9,512065;64,796623;52,106369;11,450587;35,012703;22,161813
"PF3D7_0111400.1";4,996854;12,874118;41,214503;61,663446;31,543296;77,40959;164,961336
"PF3D7_0111500.1";7,535393;30,594504;138,351706;265,424869;63,34871;64,248436;97,18851
"PF3D7_0111600.1";4,356963;63,191686;56,496105;65,259059;153,922858;294,795922;38,800992
"PF3D7_0111700.1";12,629275;101,350345;71,35812;75,38537;154,631303;70,492025;0
"PF3D7_0111800.1";10,604809;76,810098;72,622391;33,5994;15,322097;30,410493;46,200317
"PF3D7_0111900.1";57,332622;178,887567;406,089199;107,644786;697,672746;440,973324;77,713498
"PF3D7_0112000.1";13,801842;27,290237;47,108416;41,001461;9,189662;14,726136;49,217539
"PF3D7_0112100.1";4,410065;1,644312;0;0;1,424696;7,957212;1754,579677
"PF3D7_0112200.1";6,316402;110,99076;81,187114;59,68008;2,515557;3,246908;2,485476
"PF3D7_0112800.1";17,069083;0,492653;22,736802;0;53,066997;327,654504;58,817955
"PF3D7_0112900.1";25,999597;29,662896;14,376064;34,727113;23,216713;53,747485;62,239469
"PF3D7_0113000.1";630,771651;2863,802603;209,758059;37,527454;94,453587;14,180324;45,790202
"PF3D7_0113100.1";6,850639;1,592468;2,796795;0;0,950266;5,07136;56,372898
"PF3D7_0113200.1";14,698348;367,63155;150,753958;60,930777;17,262525;14,589344;106,197307
"PF3D7_0113300.1";99,76559;24,0555;22,601368;4,058631;4,722876;8,612936;6,532376
"PF3D7_0113400.1";4,622494;1,86535;1,201783;1,133969;11,124523;13,168443;27,573546
"PF3D7_0113600.1";4,746773;1,014183;1,403732;0,159471;1,625561;3,215279;17,034887
"PF3D7_0113700.1";81,370453;70,810172;27,53059;3,491518;11,306725;13,510502;131,495383
"PF3D7_0113800.1";111,070738;12,999782;3,94618;1,549199;1,576519;1,553038;8,325636
"PF3D7_0113900.1";74,072091;62,565724;18,05859;12,254085;71,401773;232,114797;51,418748
"PF3D7_0114000.1";10,070811;4,282441;13,008519;6,656534;50,574329;50,441151;38,193007
"PF3D7_0114100.1";0,000342;0,014338;44,432756;0;1,404526;12,169087;22,749188
"PF3D7_0114200.1";2,262982;0,969519;0,142773;0;0,253913;0,724248;0
"PF3D7_0114300.1";3,251972;6,456471;1,791387;0;2,008762;9,321638;5,547319
"PF3D7_0114400.1";113,405821;55,210112;52,792979;31,365934;603,017882;624,738841;14,286877
"PF3D7_0114500.1";0,894312;53,161606;5,429787;0;17,054835;48,932609;0
"PF3D7_0114600.1";7,408151;1,525952;0,273264;0,948496;0,391547;0,437285;0
"PF3D7_0114700.1";2,852283;1,311204;0,652625;0;0,267047;0;0
"PF3D7_0114800.1";10,343951;40,100476;0,580421;0;2,050889;0,868212;0
"PF3D7_0114900.1";8,737569;6,744407;0;0;4,209817;35,902492;4,366274
"PF3D7_0115000.1";4,261727;0,47526;0,038063;0,904457;0,852281;3,496589;0,5777
"PF3D7_0115100.1";9,296834;1,042094;5,001319;1,888936;4,642366;57,241591;0
"PF3D7_0115200.1";3,257146;22,012617;0,724867;1e-06;1,218426;0,190467;0
"PF3D7_0115300.1";1,830821;1,26291;0,585746;0,054965;0,583272;2,5e-05;0
"PF3D7_0115400.1";4,429392;0,968017;0,850571;0;0;0,21715;0
"PF3D7_0115500.1";2,094568;0,000257;0,023214;0;0;20,711989;0
"PF3D7_0115600.1";6,343121;4,542037;6,528895;0;5,042956;5,525014;0
"PF3D7_0115700.1";2,268222;1,778156;0,908729;0,330381;1,193427;1,205184;0,146587
"PF3D7_0200100.1";8,927765;2,05608;1,807427;0,628543;1,563555;1,365135;0
"PF3D7_0200200.1";2,522218;9,265048;1,848952;2,664508;13,988246;2,172902;2e-06
"PF3D7_0200300.1";0,11599;0,694589;0;0;1e-06;0,492763;0
"PF3D7_0200400.1";0,188928;2,471197;0;0;4e-06;0;0
"PF3D7_0200500.1";0;1,566548;0;0;0,126411;2e-06;0
"PF3D7_0200600.1";0,149508;4,986041;0,234084;0;0,436069;0;0
"PF3D7_0200700.1";0,584043;3,796625;0;5,026855;1,393864;0;0
"PF3D7_0200800.1";0,491029;0;0,172057;0;0,000524;0;0
"PF3D7_0200900.1";0,746842;3,279514;0,11055;0;0;0;0
"PF3D7_0201000.1";0,254623;1,768825;0;0;0;0,280582;0
"PF3D7_0201200.1";0,408625;0;0;0;0,208349;0,900253;0
"PF3D7_0201300.1";0,046219;1,150794;0;0;1,329344;0,217689;0
"PF3D7_0201400.1";1,555975;0;0;0;0;1,23389;0
"PF3D7_0201500.1";2,720439;0,440599;14,027311;0;45,228121;35,79866;13,071062
"PF3D7_0201600.1";17,377893;0,457682;2,866841;0;5,919985;1,635468;7,865199
"PF3D7_0201700.1";21,299613;0,71462;0,664548;0;0,526767;1,472042;6,046424
"PF3D7_0201800.1";25,907624;0,632529;1,687768;0;4,530511;1,660418;3,745832
